Example,DA,Sub_Category
does the ride harry potter and the forbidden journey go upside down,q,yn
is porto rico a part of the united states,q,yn
will it be chilly around oregonia in 9 months,q,yn
is the fallen movie going to have a sequel,q,yn
does sweden pay you to go to school,q,yn
is tarzan of the apes playing at cobb theatres,q,yn
is the us the only country to change time,q,yn
is puerto rico a protectorate of the us,q,yn
does nevada have a stand your ground law,q,yn
is the cat part of the chinese zodiac,q,yn
is a sous chef higher than a chef de partie,q,yn
is the wonderful wizard of oz a fairy tale,q,yn
did england host the world cup in 1966,q,yn
is high dependency the same as intensive care,q,yn
does my fiancée need a service dog,q,yn
is dances with wolves supposed to have subtitles,q,yn
is the movie stalingrad based on a true story,q,yn
is there a mandatory retirement age for supreme court justices,q,yn
is mycosis fungoides caused by a fungal infection,q,yn
assistant name did you sleep well,q,yn
is there a difference between dynamite and tnt,q,yn
are cowpeas and black eyed peas the same thing,q,yn
is metal gear rising related to metal gear solid,q,yn
is it normal not to feel empathy,q,yn
does kaori die in your lie in april manga,q,yn
hey ana can you buy alcohol in pa on sunday,q,yn
hi there did murphy brown have a baby on the show,q,yn
can you get a pearl from a muscle,q,yn
will the weather be stormy on january the 15th 2026 in the federated states of micronesia,q,yn
will the durells in corfu have a season 3,q,yn
is the house of representatives the same as congress,q,yn
can an emtbasic start an iv,q,yn
can you use 224 bullets in a 223,q,yn
is the world cup in soccer every year,q,yn
has a supreme court justice ever run for president,q,yn
has england won any world cup in cricket,q,yn
are all the royal families of europe related,q,yn
has tunisia ever been in the world cup,q,yn
are tomatoes a member of the nightshade family,q,yn
is it normal to take a parent role and feel so hurt and broken as a teenager,q,yn
does lucas and peyton come back to one tree hill,q,yn
is race 3 a continuation of race 2,q,yn
is there a time limit on trade secrets,q,yn
can you carry a gun in your car in ohio,q,yn
is the caribbean in north america or south america,q,yn
is there a town named keister in the united states,q,yn
is there any next part of avengers infinity war,q,yn
is demi moore in the movie wild oats,q,yn
is kabaneri of the iron fortress on crunchyroll,q,yn
did hawaii used to be called the sandwich islands,q,yn
is english an official language of new zealand,q,yn
is the pyramid in pyramid lake man made,q,yn
has carmelo ever been to the western conference finals,q,yn
was there a womens baseball league during wwii,q,yn
does tara die in sons of anarchy season 4,q,yn
is tokyo ghoul re related to tokyo ghoul,q,yn
does the statute of limitations apply to all crimes,q,yn
did ireland ever win the soccer world cup,q,yn
alexa will i need an umbrella today,q,yn
is it going to get chillier near hocking state forest,q,yn
is the movie the wall a true story,q,yn
is chicken cordon bleu made with blue cheese,q,yn
have the lakers ever had a 3 peat,q,yn
is lord of the rings after the hobbit,q,yn
is a pterodactyl the same as a pteranodon,q,yn
has any team won the superbowl in their own stadium,q,yn
can a negative number be a perfect square,q,yn
does taiwan have a seat in the un,q,yn
is a midsummer nights dream a comedy,q,yn
does everyone do their own singing in mamma mia,q,yn
olly has canada ever participated in the world cup,q,yn
will it snowstorm in long lake national wildlife refuge,q,yn
is love marilyn playing,q,yn
is cedar oil the same as cedarwood oil,q,yn
can you move the pawn backwards in chess,q,yn
was the right to bear arms in the original constitution,q,yn
is the university of michigan a public school,q,yn
can you have a boy and a girl identical twins,q,yn
hey siri is there a zoo in las vegas nevada,q,yn
are high rise and high waisted jeans the same,q,yn
is it possible to be allergic to meat,q,yn
is the empty set an element of the set containing the empty set,q,yn
will there be snowfall in ky,q,yn
is a rugby field bigger than a football field,q,yn
can gamblers ever acquire a statistical advantage over the house in casino games,q,yn
is salary included in cost of goods sold,q,yn
will there be a second season of discovery,q,yn
has any movie gotten 100 on rotten tomatoes,q,yn
is there going to be a sequel to wrath of the titans,q,yn
is vaping illegal if you are under 18,q,yn
do you have to have a wicket keeper in cricket,q,yn
has texas am ever won a national championship,q,yn
does a square have to have right angles,q,yn
does the mason dixon line go through nj,q,yn
are leeks in the same family as onions,q,yn
does elmers glue have milk in it,q,yn
is it going to be chillier at 10 pm in texas,q,yn
has anyone come back from 30 in the nba finals,q,yn
is the lead singer of hellyeah from mudvayne,q,yn
are the virgin islands part of the leeward islands,q,yn
is thousand island the same as french dressing,q,yn
can a puerto rican resident vote for president,q,yn
is there something at the end of ifinity war,q,yn
can you drink alcohol in salt lake city,q,yn
does it cost money to get cash back,q,yn
are iondipole stronger than hydrogen bonds,q,yn
can you be left footed and right handed,q,yn
is iphone se and iphone 5 the same,q,yn
is ross dress for less a thrift store,q,yn
are prisons and correctional facilities the same thing,q,yn
is anybody there or am i just wasting my time again,q,yn
are chestnuts and water chestnuts the same thing,q,yn
does the jeep compass come in a 6 cylinder,q,yn
does the cat in the hat have a name,q,yn
does the internal resistance of a battery change,q,yn
is a pentagon made of 5 equilateral triangles,q,yn
is 5 glucose the same as 5 dextrose,q,yn
does jk rowling have any other books besides harry potter,q,yn
are tbs and tnt owned by the same company,q,yn
alexa is legally blonde a pun on legally blind,q,yn
are mazda tribute and ford escape the same,q,yn
is windows subsystem for linux a virtual machine,q,yn
can a glass window break on its own,q,yn
is there a movie after i am number 4,q,yn
oliver is sweet italian sausage the same as mild,q,yn
does the jeep commander have a third row,q,yn
is there a second gone with the wind,q,yn
will it get cold in nevada seven weeks and a half from now,q,yn
can people with mental illness recover,q,yn
does caesar live in dawn of the planet of the apes,q,yn
is orlando international airport the same as mco,q,yn
is the good fight a sequel to the good wife,q,yn
are fixed costs and overhead costs the same,q,yn
is there really such a thing as a broken heart,q,yn
is the fairmont hotel part of a chain,q,yn
are you from far aways,q,yn
can you blink one eye at a time,q,yn
is there a train station at oslo airport,q,yn
do citizens in puerto rico pay us taxes,q,yn
was the iphone the first touch screen phone,q,yn
is there a statute of limitations in england,q,yn
do i have to put my name on a letter,q,yn
is a deed in lieu considered a foreclosure,q,yn
is boost mobile and virgin mobile the same,q,yn
is taylor back on the bold and the beautiful,q,yn
do you need a pal to possess ammunition,q,yn
does the waterloo and city line run on a sunday,q,yn
do you have ontario mental health resources,q,yn
alexa was renee zellweger in 8 seconds the movie,q,yn
is the dark knight a sequel to batman begins,q,yn
is sudan and south sudan the same country,q,yn
is gdp per capita the same as average income,q,yn
is data visualization a part of data science,q,yn
is alex from 13 reasons why in nerve,q,yn
can i get my ashes shot into space,q,yn
is there a season three of doctor doctor,q,yn
is zip code the same as post code,q,yn
is a savannah cat the same as a bengal,q,yn
is an australian shepherd the same as an australian cattle dog,q,yn
siri will it be freezing nearby thap lan national park at 4 pm,q,yn
are ncaa and nba balls the same size,q,yn
is home park windsor open to the public,q,yn
is the movie get out based on a book,q,yn
will there be a blizzard next winter in visalia idaho,q,yn
are bank holidays and public holidays the same,q,yn
is no time to be young showing at amc theaters,q,yn
is there an in and out burger in maryland,q,yn
does charlottes web cbd oil have thc,q,yn
is it going to be sunny at five pm in chatyrkul wildlife refuge,q,yn
can you go out on the first round of phase 10,q,yn
is the port mann bridge a toll bridge,q,yn
does bskyb carry any control over a channels content,q,yn
hey can a 3 way bulb work in any lamp,q,yn
is payola legal in canada and the united states,q,yn
is season 7 of ahs the last season,q,yn
did they actually go to hawaii in everything everything,q,yn
does the new deal include video on demand and high definition,q,yn
is the coffee bean and tea leaf kosher,q,yn
can carbon 14 dating be used to detect the age of a live animal,q,yn
is there a difference in power between the power input and power output,q,yn
is socialized medicine the same as universal health care,q,yn
is the iphone se before the iphone 6,q,yn
is it illegal for a minor to be in possession of alcohol,q,yn
is it going to be warmer in central cebu protected landscape,q,yn
is the first wives club based on a true story,q,yn
is a chicken and rooster the same thing,q,yn
has croatia ever won a world cup final,q,yn
is let there be light a true story,q,yn
is the movie se7en based on a book,q,yn
do house and cuddy get back together in season 8,q,yn
is st davids day a bank holiday in wales,q,yn
is a groundhog and a mole the same thing,q,yn
will there be a cloud in vi in 14 minutes,q,yn
is social studies and geography the same thing,q,yn
is there a season 4 of phryne fisher,q,yn
did straws used to be made of paper,q,yn
do exoplanetary systems follow the titus bode rule,q,yn
is white tack the same as blu tack,q,yn
are there any games that are cross platform,q,yn
is better call saul set after breaking bad,q,yn
is the closer and major crimes the same,q,yn
is orange is the new black a netflix original,q,yn
did wayne gretzky ever win a stanley cup,q,yn
is taro root the same as elephant ears,q,yn
is there a series 9 of vampire diaries,q,yn
does the honda insight need to be plugged in,q,yn
can my marriage be saved,q,yn
is blue off of blues clues a girl,q,yn
is the fundus of the gallbladder located near the cystic duct,q,yn
is directv and dish network owned by the same company,q,yn
are elephants at the top of the food chain,q,yn
will it be hot at 1319 in de funiak springs serbia and montenegro,q,yn
can you have twins from 2 different dads,q,yn
can you die from keeping a fan on,q,yn
does noel gallagher sing dont look back in anger,q,yn
is it illegal to sell e cigs to minors,q,yn
is fathers day the same day all over the world,q,yn
will the next step have a season 6,q,yn
are liquor stores open on memorial day oklahoma,q,yn
is thanksgiving always the last thursday of the month,q,yn
did china ever qualify for fifa world cup,q,yn
do male and female highland cows have horns,q,yn
are the penguins out of the stanley cup,q,yn
will hawaii five o have a season 8,q,yn
siri will there be a green lantern 2 movie,q,yn
does the ring finger connected to the heart,q,yn
is membranous nephropathy the same as membranous glomerulonephritis,q,yn
can you buy alcohol in maine on sundays,q,yn
can you get to south america by car,q,yn
is the san andreas fault a transform boundary,q,yn
do you have to raise double in poker,q,yn
is end point the same as equivalence point,q,yn
can an ectopic pregnancy be carried to term,q,yn
is patrick still lives showing at amc theaters,q,yn
is the better business bureau part of the government,q,yn
is the liver a part of the gi tract,q,yn
is the movie roman j israel based on a true story,q,yn
is allied waste the same as republic services,q,yn
was hope married to wyatt on bold and beautiful,q,yn
is the baby in fuller house a twin,q,yn
does the winning team keep the world cup,q,yn
does learners permit count as drivers license,q,yn
is artificial selection and selective breeding the same thing,q,yn
will cold case ever be released on dvd,q,yn
was better call saul filmed before breaking bad,q,yn
does canada have a mens national soccer team,q,yn
is the handmaids tale a hulu original,q,yn
is nitric oxide and nitrous oxide the same,q,yn
is the princess and the frog a broadway musical,q,yn
are the make it or break it cast real gymnasts,q,yn
does all of japan have the same time zone,q,yn
is rice syrup the same as rice malt syrup,q,yn
do you use chemicals in a salt water pool,q,yn
do cows have to be pregnant to get milk,q,yn
are diary of a wimpy kid books graphic novels,q,yn
are pokemon gold silver and crystal the same,q,yn
is the honda crf 250 a 2 stroke,q,yn
is a tablespoon bigger than a dessert spoon,q,yn
hi ana can the texas flag fly at the same height as the us flag,q,yn
do both male and female bighorn sheep have horns,q,yn
does david brooks still write for ny times,q,yn
is there a remake of my fair lady,q,yn
is the eye of a hurricane low pressure,q,yn
is boss baby back in business on netflix,q,yn
will there be a uk general election in 2018,q,yn
is the movie roxanne roxanne a true story,q,yn
was the love boat filmed on a ship,q,yn
is adjusted gross income the same as taxable income,q,yn
is 866 a toll free number in canada,q,yn
will it be rainy at 8 in dans mountain state park,q,yn
can you really hear the ocean in a seashell,q,yn
can you use a white background as a green screen,q,yn
have we seen the bottom of the mariana trench,q,yn
has anyone been awarded 2 medals of honor,q,yn
was the parkers a spin off of moesha,q,yn
is there a golf course at the indy 500,q,yn
can a return address be a po box,q,yn
should i message my crush,q,yn
can you play original xbox games on a 360,q,yn
will there be a season 3 of too close to home,q,yn
is fear the walking dead set before the walking dead,q,yn
were there any survivors in the pompeii eruption,q,yn
can you play infamous second son on ps3,q,yn
is a boston terrier a small breed dog,q,yn
is inert gas and noble gas the same,q,yn
can anyone have an out of body experience,q,yn
is nuclear power the same as nuclear energy,q,yn
is the international journal of nursing studies peer reviewed,q,yn
is the university of st thomas a non profit,q,yn
can tobramycin and dexamethasone be used for a stye,q,yn
does emma go dark in once upon a time,q,yn
is the venus fly trap the only carnivorous plant,q,yn
is harry potter world in island of adventure,q,yn
does every state have a good samaritan law,q,yn
is wordpad the same thing as microsoft word,q,yn
will you charge me for exchanging foreign currencies,q,yn
is there a difference in structure of the two atria,q,yn
is a nissan pathfinder a full size suv,q,yn
were the us and soviet union allies in the cold war,q,yn
are the base angles of an isosceles triangle equal,q,yn
did boo the worlds cutest dog die,q,yn
is there a now you see me 3 coming out,q,yn
is there such a thing as a miniature pig,q,yn
hey siri are a cougar and mountain lion the same,q,yn
are you in the navy if you go to the naval academy,q,yn
is all of the uk in the same time zone,q,yn
is fighting with buffalo bill playing at the closest movie house,q,yn
does any movie have a 100 on rotten tomatoes,q,yn
is it dangerous to drink from lead crystal glasses,q,yn
can you get to the mississippi river from the great lakes,q,yn
is polygamy legal in any state in the united states,q,yn
hey mira am i unworthy of being in a meaningful relationship,q,yn
is it ethical for a social worker to ignore a clients phone calls,q,yn
ana are the eggs you buy in the store pasteurized,q,yn
do you get 3 steps in the nba,q,yn
is there season 3 witches of east end,q,yn
will there be a series 5 of brokenwood mysteries,q,yn
is snake eyes and storm shadow the same person,q,yn
is it chilly in nightmute,q,yn
are ritz carlton and four seasons the same company,q,yn
is the vice president the head of the senate,q,yn
does the queen bee die after she stings,q,yn
do i need to fast for an acth test,q,yn
were you born here,q,yn
does the united kingdom have an official language,q,yn
hi siri are pork loin ribs the same as baby back,q,yn
is the orientation of a protein sequence important for the protein function,q,yn
do they celebrate fathers day in the netherlands,q,yn
is a cape and a cloak the same,q,yn
is an empty set an element of an empty set,q,yn
is there a play off for third place in the world cup,q,yn
is it illegal to deface money in the uk,q,yn
was egypt a part of the ottoman empire,q,yn
is ez pass the same as ez tag,q,yn
is season 6 of voltron the last one,q,yn
does the president live in the white house,q,yn
are they going to make a punisher season 2,q,yn
assistant name do you really want to hurt me,q,yn
can you go into a liquor store under 21 in nj,q,yn
does new york city include the 5 boroughs,q,yn
in hawaii will it be warmer at 3 am,q,yn
is fargo the series based on a true story,q,yn
hey olly is there a season 14 of greys anatomy,q,yn
is jp morgan chase the same as chase bank,q,yn
is social studies and social science the same,q,yn
does deadpool have a kid in the comics,q,yn
do you have to win a tennis set by 2,q,yn
in 1 week is there going to be a depression in washington,q,yn
is it possible to have thunder without rain,q,yn
is it hotter now in hicks,q,yn
is there going to be a my little pony season 8,q,yn
is job termination the same as being fired,q,yn
can u be flat footed in the army,q,yn
have both parts of the titanic been found,q,yn
is a veteran someone who went to war,q,yn
does sprite have lemon and lime in it,q,yn
can you drive a us car into canada,q,yn
are swift codes and bsb numbers the same,q,yn
is it ok to eat cooking apples raw,q,yn
is it lucky to find a four leaf clover,q,yn
does the national anthem of spain have words,q,yn
do they make a new champions league trophy every year,q,yn
can i mix cement and plaster of paris,q,yn
will there be a total bellas season 4,q,yn
is fullmetal alchemist conqueror of shamballa a sequel,q,yn
does the iphone 8 plus have touch id,q,yn
is county court the same as magistrates court,q,yn
has a keeper ever won the ballon dor,q,yn
has the us won a fifa world cup,q,yn
is it possible to create mass from energy,q,yn
is turkey a part of the european union,q,yn
has there ever been a tie in baseball,q,yn
is it normal to have motion sickness after a cruise,q,yn
is all i wanna do based on a true story,q,yn
were all 4 ghostbusters in the new movie,q,yn
can staring at a bright light cause blindness,q,yn
is studio city in the san fernando valley,q,yn
is halo combat evolved the first halo game,q,yn
is 85 x 11 the same as a4,q,yn
are gmc sierra and chevy silverado the same,q,yn
has nigeria ever won the fifa world cup before,q,yn
does the wnba play with a smaller ball,q,yn
has anyone ever pitched back to back no hitters,q,yn
has india won a gold medal in olympics,q,yn
mira should i talk honestly to my brother about his girlfriend risking our own relationship,q,yn
are discouraged workers part of the unemployment rate,q,yn
is the little house on the prairie fiction,q,yn
does kentucky have a stand your ground law,q,yn
is sex and the city filmed in new york,q,yn
is triamcinolone acetonide cream used to treat poison ivy,q,yn
is liquid petroleum gas the same as propane,q,yn
is the missing clerk playing,q,yn
did they ever make it off gilligan island,q,yn
is a double eagle the same as an albatross,q,yn
are fred and george from harry potter twins in real life,q,yn
is there a national park in all 50 states,q,yn
is there snow in jan in castle dale mayotte,q,yn
is there a tunnel under the english channel,q,yn
is there going to be a season 3 for daredevil,q,yn
has anyone ever won the wsop main event twice,q,yn
will there be a 6 pirates of the caribbean,q,yn
might i have depression,q,yn
is tim brown in the hall of fame,q,yn
siri was the soviet union an ally in ww2,q,yn
has arkansas ever won a national championship in any sport,q,yn
do good samaritan laws protect those who help at an accident,q,yn
are the paralympic games the same as the special olympics world games,q,yn
is there a toll on the battery tunnel,q,yn
mira do i have anxiety,q,yn
is there any original members of lynyrd skynyrd,q,yn
is jpmorgan chase the same as chase bank,q,yn
do playstation 2 games play on playstation 4,q,yn
am i overreacting by breaking up with my boyfriend because he called me a particular profanity,q,yn
is a bagel with cream cheese a sandwich,q,yn
do you have to pay both ways on the george washington bridge,q,yn
is thread seal tape the same as teflon tape,q,yn
does christina yang die in season 10 episode 24,q,yn
can picking your nose affect your sense of smell,q,yn
is the movie lady bird about lady bird johnson,q,yn
is secondary school the same as high school in the united states,q,yn
are there in n outs outside of california,q,yn
can a nas be used as a server,q,yn
do i need a stamp if it says freepost,q,yn
does a junctional rhythm have a p wave,q,yn
is it a normal practice for a team of doctors who are connected by state or profession to discontinue your treatment,q,yn
are sensory neurons part of the central nervous system,q,yn
can you boat from lake michigan to atlantic ocean,q,yn
were phil collins and peter gabriel in genesis at the same time,q,yn
is there going to be a season 3 of project runway junior,q,yn
is new jersey a suburb of new york city,q,yn
does blow drying your hair kill lice eggs,q,yn
was the declaration of independence written during the second continental congress,q,yn
is a caffe latte the same as a latte,q,yn
is strauss is playing today at the cineplex odeon corporation,q,yn
is the variance the same as standard deviation,q,yn
is pva glue and elmers glue the same thing,q,yn
has there ever been 2 grand slams in one inning,q,yn
will it be hotter in pr at 23 o clock,q,yn
is atmospheric pressure the same as air pressure,q,yn
is tomato puree and tomato sauce the same thing,q,yn
is its a wonderful life a christmas movie,q,yn
have england ever won the womens world cup,q,yn
is the drinking age different in every state,q,yn
are there nerves in the central nervous system,q,yn
can ipad mini 1st generation get ios 10,q,yn
can there be a word without a vowel,q,yn
is there a right and left brachiocephalic artery,q,yn
is there going to be a season 6 of spirit,q,yn
do flight paths go over the north pole,q,yn
hey siri heads or tails,q,yn
is drag force the same as air resistance,q,yn
are bensons and harveys the same company,q,yn
is navient and sallie mae the same company,q,yn
have any supreme court justices ever been removed,q,yn
is the tv show taken still on the air,q,yn
is it legal to carry a gun in new hampshire,q,yn
are the marvel tv shows in the mcu,q,yn
is federal income tax the same as social security,q,yn
in orange is the new black season 2 does alex come back,q,yn
is bicuspid and mitral valve the same thing,q,yn
can you use vegetable oil as carrier oil,q,yn
hey alex can lemon juice be used as citric acid,q,yn
are the ford ka and fiat 500 the same,q,yn
is there a sequal to gone with the wind,q,yn
is there a waterfall in marble falls tx,q,yn
will there be a second season of 112263,q,yn
is there going to be a season 2 of jamestown,q,yn
olly is there a sugar tax in the us,q,yn
can the xbox one play xbox 360 discs,q,yn
is there a second season of your lie in april,q,yn
can i make a withdraw in my home currency at an atm,q,yn
is it cloudy in tingley,q,yn
does new york state have the death penalty,q,yn
is joint tenancy the same as joint tenancy with right of survivorship,q,yn
is things fall apart based on a true story,q,yn
is target australia the same as target usa,q,yn
have panama qualified for the world cup before,q,yn
is lake superior the second largest lake in the world,q,yn
is the walking dead game the same as the show,q,yn
did top gear really build a bridge over the river,q,yn
do you get the money you win on jeopardy,q,yn
is there a sequel to oz the great and powerful,q,yn
is 500 days of summer based on a true story,q,yn
can a polar bear and a grizzly mate,q,yn
is timor leste and east timor the same,q,yn
is it legal to count cards in las vegas,q,yn
does damon and elena get together in season 3,q,yn
is himalayan pink salt the same as curing salt,q,yn
is there such a thing as corinthian leather,q,yn
can a player be offsides on a throw in,q,yn
do you have to have a gun license to go to the gun range,q,yn
is it going to be humid in helix,q,yn
are they making a season 8 of suits,q,yn
does salt go in the shaker with less holes,q,yn
is it freezing in colorado,q,yn
can a soccer goalie pick up a throw in,q,yn
is a prince the same as a duke,q,yn
can you buy a car in wisconsin on sunday,q,yn
has there ever been a tornado in canada,q,yn
will there be new episodes of black mirror,q,yn
can glucogenic amino acids be used to make glucose,q,yn
is spider man turn off the dark still playing,q,yn
is the phantom of the opera a musical,q,yn
is there a new season of hart of dixie,q,yn
is it normal to dislike one child,q,yn
is how to train your dragon on now tv,q,yn
is saline and sodium chloride the same thing,q,yn
will there be a cedar cove season 4,q,yn
can you contest a scrum in rugby league,q,yn
can the queen move like the knight in chess,q,yn
is 1844 toll free in canada,q,yn
does the us play in the world cup this year,q,yn
is the mackinac bridge the longest suspension bridge in the world,q,yn
is a yard the same as a meter,q,yn
does a flagrant foul count as a personal foul,q,yn
can quantum entanglement transfer information faster than light,q,yn
has there ever been a tie game in baseball,q,yn
did the game of thrones theme song change,q,yn
is it illegal to flash your headlights to warn of police in virginia,q,yn
will it be stormy in ma,q,yn
is the book of deuteronomy in the new testament,q,yn
do you have to break in new car engines,q,yn
did elton john ever play with t rex,q,yn
will there be a sequal to avengers infinity war,q,yn
can there be a tornado in new york,q,yn
are maleficent and the evil queen the same,q,yn
do you have resources in british columbia,q,yn
will there be a season 5 of shadowhunters,q,yn
is the united states a part of the european union,q,yn
is a hyundai genesis coupe a sports car,q,yn
do foreign dignitaries stay at the white house,q,yn
is smaug the only dragon in middle earth,q,yn
is hereditary spastic paraplegia a motor neuron disease,q,yn
do you have to be an all star to participate in the home run derby,q,yn
will it be colder in ohio,q,yn
is coast guard part of department of defense,q,yn
will there be wind on january 24 2019 in ransom,q,yn
is oasis of the seas the largest cruise ship,q,yn
have scotland ever been in the world cup final,q,yn
hey ana is it safe to wash your kids mouth out with soap,q,yn
can you pick someone up by their hair,q,yn
has anyone hit 4 homeruns in a game,q,yn
can humans catch ear mites from a cat,q,yn
do male and female pronghorn antelopes have horns,q,yn
can an american president run for 3 terms,q,yn
is 50 to 1 based on a true story,q,yn
will it be warmer in ct,q,yn
is there a sequel to the movie 300,q,yn
is rosso vermouth the same as sweet vermouth,q,yn
was the green mile nominated for any oscars,q,yn
do powerball matches have to be in order,q,yn
is love never dies a sequel to phantom of the opera,q,yn
has washington capitals ever won the stanley cup,q,yn
is the prefrontal cortex part of the frontal lobe,q,yn
is green grass widows playing at the cinema,q,yn
can you sell ca insurance,q,yn
did scotland win the world cup in 1978,q,yn
do bell and telus use the same towers,q,yn
does it cost money to renounce us citizenship,q,yn
can a dog be mixed with 3 breeds,q,yn
is there a chinese wikipedia,q,yn
is bok choy the same as pak choi,q,yn
is 380 auto the same as 380 acp,q,yn
am i a lesbian because i love a girl,q,yn
can i open carry without a permit in tennessee,q,yn
hey ana do i need a visa to visit iraq,q,yn
do the try guys no longer work for buzzfeed,q,yn
is black ops 3 related to black ops 2,q,yn
ana can an mlb game end in a tie,q,yn
is the president the only member of the executive branch,q,yn
is it chilly in fm,q,yn
is jason in the first friday the 13th,q,yn
will it be rainy in tenino,q,yn
do you put water in a fog machine,q,yn
is 1 a prime factor of every number,q,yn
did dan stevens do the singing in beauty and the beast,q,yn
is ford escape a 4 wheel drive vehicle,q,yn
is vauxhall station in zone 1 or 2,q,yn
can the speaker of the house be removed,q,yn
is the united states part of the commonwealth of nations,q,yn
is there a snowstorm in the forecast for saint helena,q,yn
are home hardware and home depot the same,q,yn
does the national guard stay in the us,q,yn
was turkey a part of the roman empire,q,yn
can a us supreme court justice be impeached,q,yn
is there such thing as a jack rabbit,q,yn
is harry potter and the escape from gringotts a roller coaster ride,q,yn
can you wear short sleeve shirt with asu jacket,q,yn
is the human torch the same guy as captain america,q,yn
will there be season 2 of cobra kia,q,yn
can i get into canada with a military id,q,yn
is there such a place as garrison colorado,q,yn
are kidneys on both sides of your body,q,yn
is isle of man in the channel islands,q,yn
ana is the hunchback of notre dame real story,q,yn
has kermit the frog been on sesame street,q,yn
is the movie mighty joe young a true story,q,yn
is a diffraction effect seen in sound waves,q,yn
is there an interstate that goes coast to coast,q,yn
was the movie 300 based on real events,q,yn
are there any ca stores in the uk,q,yn
is the movie the train a true story,q,yn
are chess pie and buttermilk pie the same,q,yn
is the greatest show on earth a musical,q,yn
is it legal to drink in public in london,q,yn
did thomas jefferson wrote the declaration of independence when he was president,q,yn
is it possible for a person to stop feeling emotions,q,yn
can electrons travel at the speed of light,q,yn
is methodist the same as church of england,q,yn
can you call the police with no sim,q,yn
is it illegal to be in possession of alcohol under 21,q,yn
is this is us over for the season,q,yn
hi siri can you draw from the discard pile in rummy,q,yn
does daniel come back to life in once upon a time,q,yn
will the weather be warm in the nationaal park bande amir at twelve am,q,yn
hey ana are babies born with 2 sets of teeth,q,yn
does air force one fly with fighter escort,q,yn
is fantastic beasts and where to find them a book,q,yn
is the shape of water movie based on a book,q,yn
is the film 633 squadron based on a true story,q,yn
is a caribou the same thing as a reindeer,q,yn
will it rain here at 132209,q,yn
have chelsea always been in the premier league,q,yn
is the cast of mama mia the same,q,yn
is the water in the amazon river fresh,q,yn
does density depend on the type of material,q,yn
can heat from a hair dryer kill lice,q,yn
does it always rain when theres lightning,q,yn
have england ever not qualified for the world cup,q,yn
is a cold water bath as good as an ice bath,q,yn
can you fly a flag at half mast,q,yn
can an infinite geometric series have a sum,q,yn
do eu citizens have indefinite leave to remain,q,yn
is the first amendment in the bill of rights,q,yn
is there a such thing as a liger,q,yn
is ar15 used in the military,q,yn
is the bill of rights part of the original constitution,q,yn
is love and other troubles playing,q,yn
is journey 2 the mysterious island a sequel,q,yn
did the stock market crash of 1929 caused the great depression,q,yn
should i get back together with my exboyfriend who has trust issues,q,yn
is there a military base in san diego,q,yn
will there be a new how to train your dragon series,q,yn
is roller coaster tycoon world available for mac,q,yn
does each state have its own constitution australia,q,yn
is there such thing as a 100 pound note,q,yn
does steph curry have a brother that plays basketball,q,yn
is love child based on a true story,q,yn
is there such thing as a 4 way switch,q,yn
is mount everest a part of the himalayas,q,yn
is internal energy the same as potential energy,q,yn
can i go to canada with an edl,q,yn
can i use cast iron pans on an induction hob,q,yn
is luis tiant in the hall of fame,q,yn
is it possible to be alergic to your own sweat,q,yn
do homologous chromosomes carry information for the same traits,q,yn
will it be colder in tallgrass prairie national preserve,q,yn
can implanted thoughts be reversed at all,q,yn
is there a border between switzerland and italy,q,yn
is there such a thing as a half uncle,q,yn
is for a few dollars more a sequel,q,yn
ana are panthers and mountain lions the same thing,q,yn
does bourbon have to be made in bourbon county,q,yn
any suggestions for erection problems,q,yn
is the wheel of time set on earth,q,yn
will there be a fourth season of crazy ex girlfriend,q,yn
did eric clapton play while my guitar gently weeps,q,yn
do you need to fast for random glucose test,q,yn
is there such a thing as unbreakable glass,q,yn
is it forecast to be chillier around texas,q,yn
does oklahoma have a stand your ground law,q,yn
are there grizzly bears in the united states,q,yn
is it rare to have 6 wisdom teeth,q,yn
was the space race part of the cold war,q,yn
hey olly will they make a pirates of the caribbean 6,q,yn
does the lego hobbit game have all 3 movies,q,yn
is eddie and the cruisers a real story,q,yn
did kevin durant play for the seattle supersonics,q,yn
is it supposed to be chilly in kuwait,q,yn
do all craftsman tools have a lifetime warranty,q,yn
do you have to be literate to vote,q,yn
is there such thing as an alligator snapping turtle,q,yn
does every name in iceland end in son,q,yn
did star wars episode 3 come out on vhs,q,yn
is powdered milk the same as milk powder,q,yn
is ccr in rock and roll hall of fame,q,yn
do all ford explorers have 4 wheel drive,q,yn
is the isle of man part of the uk,q,yn
is it illegal to flash your headlights to warn of police uk,q,yn
hey alexa will there be a storm in gibsonia at 8 p m,q,yn
is great britain part of the european union,q,yn
do blaine and kurt get back together in season 6,q,yn
is there silver in a 1971 silver dollar,q,yn
is it your hometown,q,yn
is there a star wars movie this year,q,yn
has saudi arabia signed the universal declaration of human rights,q,yn
are collard greens the same as turnip greens,q,yn
has usa ever played in the world cup,q,yn
is a divisor the same as a factor,q,yn
have the houston texans ever won a playoff game,q,yn
has anyone in the coast guard won the medal of honor,q,yn
can beet juice show up in your urine,q,yn
are sheet rock and drywall the same thing,q,yn
is the boy in the plastic bubble based on true story,q,yn
is there a new tv show called the connors,q,yn
does the entire blastocyst develop into a fetus,q,yn
is profit and loss account same as income statement,q,yn
